S_SERIALNUM,s_NAME
T95,다대포해수욕장
T96,다대포항역
T97,낫개역
T98,신장림역
T99,장림역
T100,동매역
T101,신평역
T102,하단역
T103,당리역
T104,사하역
T105,괴정역
T106,대티역
T107,서대신역
T108,동대신역
T109,토성역
T110,자갈치역
T111,남포역
T112,중앙역
T113,부산역
T114,초량역
T115,부산진역
T116,좌천역
T117,범일역
T118,범내골역
T119,서면역(1호선)
T120,부전역
T121,양정역
T122,시청역
T123,연산역
T124,교대역
T125,동래역
T126,명륜역
T127,온천장역
T128,부산대역
T129,장전역
T130,구서역
T131,두실역
T132,남산역
T133,범어사역
T134,노포역
T201,장산역
T202,중동역
T203,해운대역
T204,동백역
T205,시립미술관역
T206,센텀시티역
T207,민락역
T208,수영역
T209,광안역
T210,금련산역
T211,남천역
T212,경성대부경대역
T213,대연역
T214,못골역
T215,지게골역
T216,문현역
T217,국제금융센터부산은행역
T218,전포역
T219,서면역(2호선)
T220,부암역
T221,가야역
T222,동의대역
T223,개금역
T224,냉정역
T225,주례역
T226,감전역
T227,사상역
T228,덕포역
T229,모덕역
T230,모라역
T231,구남역
T232,구명역
T233,덕천역(2호선)
T234,수정역
T235,화명역
T236,율리역
T237,동원역
T238,금곡역
T239,호포역
T240,증산역
T241,부산대양산캠퍼스역
T242,남양산역
T243,양산역
T301,수영역(3호선)
T302,망미역
T303,배산역
T304,물만골역
T305,연산역(3호선)
T306,거제역
T307,종합운동장역
T308,사직역
T309,미남역(3호선)
T310,만덕역
T311,남산정역
T312,숙등역
T313,덕천역(3호선)
T314,구포역
T315,강서구청역
T316,체육공원역
T317,대저역
T401,미남역(4호선)
T402,동래역(4호선)
T403,수안역
T404,낙민역
T405,충렬사역
T406,명장역
T407,서동역
T408,금사역
T409,반여농산물시장역
T410,석대역
T411,영산대역
T412,윗반송역
T413,고촌역
T414,안평역
T501,사상(서부터미널)
T502,괘법르네시떼(강변공원)
T503,서부산유통지구(금호마을)
T504,공항
T505,덕두
T506,등구
T507,대저
T508,평강
T509,대사
T510,불암
T511,지내
T512,김해대학(안동)
T513,인제대(활천)
T514,김해시청
T515,부원
T516,봉황(김해여객터미널)
T517,수로왕릉(김해보건소)
T518,박물관
T519,연지공원
T520,장신대(화정)
T521,가야대(삼계)
T92,부산역
T91,구포역
T93,김해국제공항
