tf_name,tf_type,tf_LOCATION,tf_pnumber,tf_PHOTO,S_SERIALNUM
서면역 부산1호선,부산1호선,부산 부산진구 중앙대로 지하 730,051-640-7339,images/trafficImg/subway.png,T04
동래역 부산1호선,부산1호선,부산 동래구 중앙대로 1324,051-640-7339,images/trafficImg/subway.png,T05
해운대역 부산2호선,부산2호선,부산 해운대구 해운대로 지하 626,051-640-7339,images/trafficImg/subway.png,T06
하단역 부산1호선,부산1호선,부산 사하구 낙동남로 지하 1415,051-640-7339,images/trafficImg/subway.png,T07
장산역 부산2호선,부산2호선,부산 해운대구 해운대로 지하 820,051-640-7339,images/trafficImg/subway.png,T08
온천장역 부산1호선,부산1호선,부산 동래구 중앙대로 1520,051-640-7339,images/trafficImg/subway.png,T09
연산역 부산1호선,부산1호선,부산 연제구 중앙대로 지하 1101,051-678-6123,images/trafficImg/subway.png,T10
센텀시티역 부산2호선,부산2호선,부산 해운대구 센텀남대로 지하 76,051-640-7339,images/trafficImg/subway.png,T11
수영역 부산2호선,부산2호선,부산 수영구 수영로 지하 677,051-640-7339,images/trafficImg/subway.png,T12
부산대역 부산1호선,부산1호선,부산 금정구 장전온천천로 48,051-640-7339,images/trafficImg/subway.png,T13
노포역 부산1호선,부산1호선,부산 금정구 중앙대로 2238,051-640-7339,images/trafficImg/subway.png,T14
광안역 부산2호선,부산2호선,부산 수영구 수영로 지하 576,051-640-7339,images/trafficImg/subway.png,T15
장전역 부산1호선,부산1호선,부산 금정구 장전온천천로 144,051-640-7339,images/trafficImg/subway.png,T16
남포역 부산1호선,부산1호선,부산 중구 구덕로 지하 12,051-640-7339,images/trafficImg/subway.png,T17
덕천역 부산2호선,부산2호선,부산 북구 금곡대로 지하 14,051-640-7339,images/trafficImg/subway.png,T18
일광역 동해선,동해선,부산 기장군 일광읍 일광로 111-10,1544-7788,images/trafficImg/subway.png,T19
자갈치역 부산1호선,부산1호선,부산 중구 구덕로 지하 80,051-640-7339,images/trafficImg/subway.png,T20
대연역 부산2호선,부산2호선,부산 남구 수영로 지하 242,051-640-7339,images/trafficImg/subway.png,T21
오시리아역 동해선,동해선,부산 기장군 기장읍 동부산관광5로 14,1544-7788,images/trafficImg/subway.png,T22
교대역 부산1호선,부산1호선,부산 연제구 중앙대로 지하 1217,051-640-7339,images/trafficImg/subway.png,T23
구서역 부산1호선,부산1호선,부산 금정구 금정로233번길 46,051-640-7339,images/trafficImg/subway.png,T24
양정역 부산1호선,부산1호선,부산 부산진구 중앙대로 지하 930,051-640-7339,images/trafficImg/subway.png,T25
부산역 부산1호선,부산1호선,부산 동구 중앙대로 지하 200,051-640-7339,images/trafficImg/subway.png,T26
송정역 동해선,동해선,부산 해운대구 해운대로 1147,1544-7788,images/trafficImg/subway.png,T27
명륜역 부산1호선,부산1호선,부산 동래구 중앙대로 1414,051-640-7339,images/trafficImg/subway.png,T28
개금역 부산2호선,부산2호선,부산 부산진구 가야대로 지하 442,051-640-7339,images/trafficImg/subway.png,T29
경성대.부경대역 부산2호선,부산2호선,부산 남구 수영로 지하 324,051-640-7339,images/trafficImg/subway.png,T30
미남역 부산4호선,부산4호선,부산 동래구 아시아드대로 지하 232,051-640-7339,images/trafficImg/subway.png,T31
전포역 부산2호선,부산2호선,부산 부산진구 전포대로 지하 181,051-640-7339,images/trafficImg/subway.png,T32
신평역 부산1호선,부산1호선,부산 사하구 하신번영로 140,051-640-7339,images/trafficImg/subway.png,T33
부산역,기차,부산광역시 동구 중앙대로 206,051-464-9898,images/trafficImg/busan.jpg,T02
구포역,기차,부산 북구 구포만세길 82,051-440-2496,images/trafficImg/gupo.jpg,T03
김해국제공항,공항,부산 강서구 공항진입로 108,051-974-3114,images/trafficImg/GimhaeInternationalAirport.jpg,T01
